BasePay,OvertimePay,OtherPay,Stated_TotalPay
112126.15,0.00,0.00,112126.15
24608.58,72295.50,0.00,96904.08
97557.00,0.00,0.00,97557.00
71331.87,0.00,0.00,71331.87
15188.78,0.00,95084.27,110273.05
63717.46,0.00,0.00,63717.46
60634.52,0.00,0.00,60634.52
19464.79,106608.80,0.00,126073.59
68450.85,0.00,0.00,68450.85
9675.92,0.00,38270.38,47946.30
5406.08,43053.74,0.00,48459.82
15668.71,0.00,0.00,15668.71
9958.97,0.00,42738.73,52697.70
4972.71,0.00,42541.95,47514.66
23709.48,122621.40,0.00,146330.88
6659.08,0.00,47963.03,54622.11
13673.16,0.00,0.00,13673.16
22891.21,52536.95,0.00,75428.16
42263.82,87598.67,0.00,129862.49
33879.56,183764.41,0.00,217643.97
42018.55,103674.25,0.00,145692.80
36396.80,0.00,83253.26,119650.06
80515.40,0.00,0.00,80515.40
27069.12,0.00,97882.24,124951.36
57915.27,0.00,0.00,57915.27
805.72,0.00,1309.28,2115.00
9356.27,43982.29,0.00,53338.56
38403.81,64093.03,0.00,102496.84
14872.85,0.00,25836.63,40709.48
6008.49,10830.90,0.00,16839.39
56293.91,0.00,0.00,56293.91
31707.38,0.00,0.00,31707.38
14342.00,116753.38,0.00,131095.38
2781.16,4274.15,0.00,7055.31
8094.65,0.00,0.00,8094.65
74398.62,0.00,0.00,74398.62
5633.94,9667.44,0.00,15301.38
103984.87,0.00,0.00,103984.87
98271.06,0.00,0.00,98271.06
29376.33,0.00,61731.20,91107.53
9784.16,0.00,66193.86,75978.02
35259.45,0.00,85294.78,120554.23
686.72,5128.15,0.00,5814.87
8118.94,15158.06,0.00,23277.00
29040.31,55550.19,0.00,84590.50
5535.59,0.00,8861.21,14396.80
132272.44,0.00,0.00,132272.44
20559.58,0.00,38287.00,58846.58
130895.17,0.00,0.00,130895.17
13265.38,0.00,85412.96,98678.34
46385.09,0.00,0.00,46385.09
1737.38,4692.08,0.00,6429.46
12981.97,47550.41,0.00,60532.38
108705.94,0.00,0.00,108705.94
13228.69,0.00,0.00,13228.69
484.00,1046.63,0.00,1530.63
93632.74,0.00,0.00,93632.74
49167.84,0.00,93617.80,142785.64
29952.86,89853.24,0.00,119806.10
141887.55,0.00,0.00,141887.55
36596.28,59271.07,0.00,95867.35
148.01,0.00,1053.92,1201.93
11387.21,0.00,34772.77,46159.98
34738.87,0.00,75980.03,110718.90
3956.53,0.00,0.00,3956.53
27794.66,42192.19,0.00,69986.85
27943.46,0.00,45623.27,73566.73
52431.00,0.00,0.00,52431.00
6909.47,0.00,14891.99,21801.46
109310.93,0.00,0.00,109310.93
29690.63,0.00,55592.81,85283.44
6441.19,0.00,0.00,6441.19
2266.55,0.00,6695.05,8961.60
17694.36,0.00,0.00,17694.36
35709.10,0.00,107676.00,143385.10
32394.09,0.00,57413.74,89807.83
23503.44,0.00,91112.61,114616.05
2752.69,0.00,19773.67,22526.36
23657.24,0.00,90596.52,114253.76
24064.43,70038.11,0.00,94102.54
36222.01,0.00,68782.23,105004.24
39238.58,0.00,123202.43,162441.01
93837.10,0.00,0.00,93837.10
69837.02,0.00,0.00,69837.02
93441.03,0.00,0.00,93441.03
113803.63,0.00,0.00,113803.63
65261.12,0.00,0.00,65261.12
18803.49,0.00,121646.92,140450.41
363.18,0.00,1813.62,2176.80
103344.66,0.00,0.00,103344.66
81174.64,0.00,0.00,81174.64
22605.36,0.00,65135.59,87740.95
30802.04,0.00,91538.01,122340.05
173.72,0.00,1096.12,1269.84
21604.05,37864.83,0.00,59468.88
24390.07,50799.10,0.00,75189.17
25657.45,44958.90,0.00,70616.35
26266.90,123554.43,0.00,149821.33
85301.19,0.00,0.00,85301.19
13340.56,0.00,54199.02,67539.58
10469.87,49015.13,0.00,59485.00
22020.73,78526.23,0.00,100546.96
1053.40,5376.30,0.00,6429.70
8898.67,45594.58,0.00,54493.25
11670.45,70759.93,0.00,82430.38
27918.06,0.00,46264.84,74182.90
32803.61,0.00,53183.85,85987.46
3677.90,10849.70,0.00,14527.60
32116.95,0.00,53644.57,85761.52
78525.34,0.00,0.00,78525.34
17747.04,0.00,33787.82,51534.86
14058.48,0.00,39480.94,53539.42
1173.64,8029.81,0.00,9203.45
17717.47,0.00,39510.54,57228.01
128823.97,0.00,0.00,128823.97
6310.43,51624.12,0.00,57934.55
16392.06,104719.83,0.00,121111.89
97389.64,0.00,0.00,97389.64
25752.93,0.00,82143.45,107896.38
2032.90,0.00,0.00,2032.90
25868.03,0.00,78100.96,103968.99
12533.92,65814.16,0.00,78348.08
63913.97,0.00,0.00,63913.97
10533.28,0.00,16669.00,27202.28
460.66,0.00,997.82,1458.48
28716.50,0.00,61760.56,90477.06
43841.34,0.00,75154.16,118995.50
52113.55,0.00,82801.12,134914.67
139069.63,0.00,0.00,139069.63
54638.87,0.00,0.00,54638.87
123747.11,0.00,0.00,123747.11
6605.23,0.00,33445.91,40051.14
17198.72,28730.67,0.00,45929.39
53271.79,155321.34,0.00,208593.13
13617.96,49965.03,0.00,63582.99
875.39,2642.11,0.00,3517.50
103347.07,0.00,0.00,103347.07
8514.51,0.00,40546.92,49061.43
167473.67,0.00,0.00,167473.67
26758.79,0.00,52424.60,79183.39
2441.43,0.00,19429.55,21870.98
162057.02,0.00,0.00,162057.02
22439.38,0.00,39594.12,62033.50
10457.93,0.00,63550.00,74007.93
15596.77,0.00,0.00,15596.77
98091.55,0.00,0.00,98091.55
73911.76,0.00,0.00,73911.76
89118.75,0.00,0.00,89118.75
39126.36,0.00,109961.02,149087.38
30574.45,0.00,57006.50,87580.95
11385.93,52325.65,0.00,63711.58
4139.24,10409.16,0.00,14548.40
123533.29,0.00,0.00,123533.29
44510.99,0.00,84978.32,129489.31
508.32,3079.48,0.00,3587.80
941.20,0.00,1680.68,2621.88
13252.02,111548.15,0.00,124800.17
18952.09,0.00,130036.51,148988.60
53954.93,0.00,87435.51,141390.44
63202.91,0.00,0.00,63202.91
30202.88,0.00,0.00,30202.88
18576.91,55398.14,0.00,73975.05
20300.93,81362.09,0.00,101663.02
21563.67,0.00,113591.26,135154.93
15654.18,0.00,0.00,15654.18
10734.38,58841.82,0.00,69576.20
71251.02,0.00,0.00,71251.02
83883.68,0.00,0.00,83883.68
30496.15,47672.90,0.00,78169.05
130723.65,0.00,0.00,130723.65
9172.14,0.00,41555.18,50727.32
35365.33,0.00,53709.16,89074.49
11180.67,0.00,74000.77,85181.44
1413.91,0.00,0.00,1413.91
21407.48,123469.46,0.00,144876.94
58563.97,161148.38,0.00,219712.35
15776.83,100025.72,0.00,115802.55
615.13,0.00,2024.12,2639.25
7609.09,46992.03,0.00,54601.12
77576.04,0.00,0.00,77576.04
38304.33,0.00,0.00,38304.33
21198.80,68002.32,0.00,89201.12
35848.49,0.00,54761.52,90610.01
15130.03,0.00,45224.30,60354.33
38739.76,88661.53,0.00,127401.29
39901.36,66000.89,0.00,105902.25
13254.61,102053.19,0.00,115307.80
11533.13,95503.44,0.00,107036.57
27148.65,77046.80,0.00,104195.45
92484.64,0.00,0.00,92484.64
126677.08,0.00,0.00,126677.08
32483.48,0.00,77082.74,109566.22
2033.15,0.00,0.00,2033.15
479.02,0.00,3448.69,3927.71
38319.29,0.00,0.00,38319.29
120763.51,0.00,0.00,120763.51
70738.52,0.00,0.00,70738.52
24972.13,51307.95,0.00,76280.08
72064.62,0.00,0.00,72064.62
1153.75,0.00,0.00,1153.75
7234.41,62934.09,0.00,70168.50
150777.99,0.00,0.00,150777.99
8654.69,0.00,0.00,8654.69
22083.52,0.00,64476.61,86560.13
42008.34,0.00,0.00,42008.34
10290.24,0.00,25102.55,35392.79
14783.12,71883.32,0.00,86666.44
11813.89,0.00,86190.06,98003.95
146870.26,0.00,0.00,146870.26
22878.47,122952.10,0.00,145830.57
155382.66,0.00,0.00,155382.66
21384.90,0.00,94303.97,115688.87
25048.22,0.00,43025.86,68074.08
61850.15,0.00,109378.50,171228.65
12462.85,75482.18,0.00,87945.03
12188.64,45981.02,0.00,58169.66
1131.68,0.00,4704.06,5835.74
9765.23,0.00,43774.17,53539.40
118591.37,0.00,0.00,118591.37
4802.32,8267.89,0.00,13070.21
32276.84,70600.71,0.00,102877.55
5021.05,23642.38,0.00,28663.43
6772.38,0.00,55271.98,62044.36
15425.13,0.00,119092.46,134517.59
40256.84,71416.04,0.00,111672.88
97912.55,0.00,0.00,97912.55
41151.93,0.00,0.00,41151.93
28361.20,91955.21,0.00,120316.41
128878.41,0.00,0.00,128878.41
3689.21,0.00,0.00,3689.21
69192.84,119339.21,0.00,188532.05
14477.64,0.00,0.00,14477.64
78632.12,0.00,0.00,78632.12
110700.05,0.00,0.00,110700.05
1792.99,6231.20,0.00,8024.19
149379.13,0.00,0.00,149379.13
264.68,935.22,0.00,1199.90
70181.81,0.00,135318.07,205499.88
94578.35,0.00,0.00,94578.35
7077.02,0.00,60284.90,67361.92
15610.61,0.00,32664.37,48274.98
13098.25,0.00,81885.76,94984.01
6245.46,0.00,51923.50,58168.96
24281.50,0.00,0.00,24281.50
16332.08,135141.83,0.00,151473.91
79837.11,0.00,0.00,79837.11
882.50,0.00,0.00,882.50
12912.72,57932.88,0.00,70845.60
13997.51,0.00,68591.01,82588.52
76339.33,0.00,0.00,76339.33
65448.02,0.00,0.00,65448.02
16437.90,38498.71,0.00,54936.61
144773.94,0.00,0.00,144773.94
46443.17,0.00,117458.97,163902.14
6337.63,0.00,51185.86,57523.49
9015.28,14898.02,0.00,23913.30
66258.04,0.00,0.00,66258.04
30174.18,90561.63,0.00,120735.81
27189.68,0.00,56051.33,83241.01
6955.48,0.00,13026.02,19981.50
32163.72,70899.73,0.00,103063.45
5456.85,0.00,27927.16,33384.01
12640.27,0.00,0.00,12640.27
31796.34,130526.03,0.00,162322.37
105498.25,0.00,0.00,105498.25
137995.18,0.00,0.00,137995.18
4912.41,0.00,14043.19,18955.60
15602.49,42372.46,0.00,57974.95
12683.18,0.00,29302.18,41985.36
12621.66,60746.87,0.00,73368.53
19413.37,35015.12,0.00,54428.49
37231.10,75020.63,0.00,112251.73
89648.00,0.00,0.00,89648.00
22196.47,0.00,60558.28,82754.75
19567.77,0.00,36588.01,56155.78
72379.96,0.00,0.00,72379.96
19341.11,0.00,64128.56,83469.67
8432.74,18894.03,0.00,27326.77
8592.68,35858.29,0.00,44450.97
17196.29,0.00,0.00,17196.29
29124.24,0.00,44266.45,73390.69
63643.83,0.00,0.00,63643.83
5489.91,16904.88,0.00,22394.79
14469.15,124066.88,0.00,138536.03
21691.88,115864.24,0.00,137556.12
51686.90,90519.99,0.00,142206.89
20659.13,47771.51,0.00,68430.64
14172.73,87243.08,0.00,101415.81
38907.61,0.00,63730.76,102638.37
18006.39,77763.63,0.00,95770.02
27038.78,0.00,44610.51,71649.29
150507.00,0.00,0.00,150507.00
68280.05,0.00,0.00,68280.05
2163.45,4496.49,0.00,6659.94
55786.96,0.00,0.00,55786.96
13950.43,118981.92,0.00,132932.35
1995.18,0.00,0.00,1995.18
16111.08,0.00,0.00,16111.08
156.75,1009.56,0.00,1166.31
38429.16,97982.21,0.00,136411.37
16756.62,68147.88,0.00,84904.50
9325.70,26348.19,0.00,35673.89
6782.62,10722.55,0.00,17505.17
13316.50,0.00,76294.19,89610.69
628.91,3221.09,0.00,3850.00
10367.29,0.00,82154.51,92521.80
123137.35,0.00,0.00,123137.35
173787.04,0.00,0.00,173787.04
166913.52,0.00,0.00,166913.52
155663.67,0.00,0.00,155663.67
19913.28,33165.69,0.00,53078.97
21245.72,41394.09,0.00,62639.81
151833.33,0.00,0.00,151833.33
21957.78,48153.09,0.00,70110.87
53561.04,0.00,0.00,53561.04
15541.86,56731.81,0.00,72273.67
88446.35,0.00,0.00,88446.35
14887.79,118090.60,0.00,132978.39
1196.89,0.00,6699.70,7896.59
10904.07,0.00,69266.96,80171.03
16583.72,141022.81,0.00,157606.53
12570.72,58132.54,0.00,70703.26
121719.04,0.00,0.00,121719.04
79056.28,0.00,0.00,79056.28
13280.61,0.00,40154.59,53435.20
62729.39,123853.00,0.00,186582.39
64446.90,146314.75,0.00,210761.65
83698.22,0.00,0.00,83698.22
2769.60,0.00,0.00,2769.60
1102.89,4037.72,0.00,5140.61
1315.25,9818.32,0.00,11133.57
1017.45,2914.92,0.00,3932.37
18441.10,0.00,55268.90,73710.00
142447.56,0.00,0.00,142447.56
20544.42,64401.36,0.00,84945.78
113209.00,0.00,0.00,113209.00
16989.81,94343.95,0.00,111333.76
15481.10,60151.95,0.00,75633.05
1861.50,0.00,0.00,1861.50
3735.49,0.00,0.00,3735.49
5768.74,0.00,17316.32,23085.06
24904.63,89697.83,0.00,114602.46
8792.58,0.00,16054.56,24847.14
35866.09,55596.97,0.00,91463.06
55686.00,0.00,0.00,55686.00
11671.91,27300.72,0.00,38972.63
16110.00,135229.66,0.00,151339.66
6179.27,0.00,24284.69,30463.96
99010.66,0.00,0.00,99010.66
47753.52,0.00,79609.03,127362.55
1824.28,5673.89,0.00,7498.17
18788.61,33655.83,0.00,52444.44
42051.69,0.00,0.00,42051.69
4478.30,19255.44,0.00,23733.74
9940.00,0.00,0.00,9940.00
191.22,652.42,0.00,843.64
1488.90,6084.87,0.00,7573.77
24887.03,0.00,0.00,24887.03
137552.98,0.00,0.00,137552.98
11942.66,57134.51,0.00,69077.17
45923.50,0.00,120021.03,165944.53
152743.44,0.00,0.00,152743.44
764.43,1590.29,0.00,2354.72
121993.49,0.00,0.00,121993.49
29976.94,49858.09,0.00,79835.03
11977.50,88170.51,0.00,100148.01
37736.52,0.00,57619.11,95355.63
10633.04,0.00,48978.85,59611.89
115929.51,0.00,0.00,115929.51
90892.02,0.00,0.00,90892.02
8914.77,0.00,60266.12,69180.89
22672.49,66473.95,0.00,89146.44
20225.62,0.00,30729.42,50955.04
180857.67,0.00,0.00,180857.67
17303.57,70721.03,0.00,88024.60
28946.68,58574.33,0.00,87521.01
1960.03,0.00,4340.09,6300.12
16528.01,54096.76,0.00,70624.77
99520.57,0.00,0.00,99520.57
53533.46,0.00,0.00,53533.46
91065.03,0.00,0.00,91065.03
89378.00,0.00,0.00,89378.00
26025.49,0.00,47905.92,73931.41
81433.02,0.00,0.00,81433.02
128952.80,0.00,0.00,128952.80
5152.39,0.00,12104.52,17256.91
20860.78,82988.11,0.00,103848.89
18421.83,0.00,77455.25,95877.08
15829.91,0.00,106594.50,122424.41
22428.98,0.00,89153.22,111582.20
47374.44,0.00,0.00,47374.44
5280.94,8699.49,0.00,13980.43
90663.95,0.00,0.00,90663.95
21966.17,37909.57,0.00,59875.74
21767.97,0.00,112003.39,133771.36
1174.34,0.00,3814.97,4989.31
38298.95,0.00,69261.70,107560.65
132030.48,0.00,0.00,132030.48
20833.55,74246.42,0.00,95079.97
23484.29,47539.73,0.00,71024.02
74191.59,119889.64,0.00,194081.23
2519.77,5387.85,0.00,7907.62
26249.73,0.00,58932.15,85181.88
35311.50,0.00,98195.05,133506.55
7993.34,62940.66,0.00,70934.00
108953.10,0.00,0.00,108953.10
2151.21,0.00,6809.92,8961.13
7152.91,59727.65,0.00,66880.56
33946.78,0.00,98909.51,132856.29
80045.02,0.00,0.00,80045.02
9569.17,34964.66,0.00,44533.83
34820.19,0.00,155429.84,190250.03
51282.33,0.00,104181.99,155464.32
9282.08,55806.02,0.00,65088.10
27625.00,0.00,41604.65,69229.65
1591.82,6983.96,0.00,8575.78
61258.76,0.00,0.00,61258.76
23367.91,79527.04,0.00,102894.95
50998.08,0.00,0.00,50998.08
47876.17,0.00,0.00,47876.17
10860.56,0.00,55568.96,66429.52
26386.40,206254.65,0.00,232641.05
70395.79,0.00,0.00,70395.79
6527.55,29468.45,0.00,35996.00
3706.88,0.00,0.00,3706.88
75774.12,0.00,0.00,75774.12
32121.14,73669.16,0.00,105790.30
3688.63,27647.03,0.00,31335.66
16037.50,29667.13,0.00,45704.63
17070.20,0.00,48598.30,65668.50
39441.60,62198.45,0.00,101640.05
24735.53,0.00,74953.20,99688.73
13928.56,51452.04,0.00,65380.60
140280.94,0.00,0.00,140280.94
11550.86,0.00,55933.96,67484.82
7748.51,0.00,0.00,7748.51
22897.31,44090.09,0.00,66987.40
55068.66,0.00,0.00,55068.66
3522.01,31313.79,0.00,34835.80
9124.62,20892.91,0.00,30017.53
25817.18,0.00,82743.82,108561.00
136243.07,0.00,0.00,136243.07
165055.17,0.00,0.00,165055.17
118477.80,0.00,0.00,118477.80
2347.88,17022.01,0.00,19369.89
26008.13,0.00,86117.97,112126.10
393.29,0.00,870.77,1264.06
63430.57,0.00,0.00,63430.57
70046.88,0.00,0.00,70046.88
113064.89,0.00,0.00,113064.89
55074.89,0.00,0.00,55074.89
24959.59,0.00,65849.46,90809.05
141716.22,0.00,0.00,141716.22
160730.15,0.00,0.00,160730.15
1923.08,0.00,0.00,1923.08
54944.25,0.00,0.00,54944.25
82655.76,0.00,0.00,82655.76
21544.15,0.00,44955.47,66499.62
31695.83,0.00,48459.73,80155.56
38175.48,0.00,78667.62,116843.10
10570.23,0.00,0.00,10570.23
140724.46,0.00,0.00,140724.46
33141.81,0.00,149890.70,183032.51
40289.59,65033.32,0.00,105322.91
31643.63,152342.54,0.00,183986.17
2689.64,0.00,10637.16,13326.80
24063.93,117242.60,0.00,141306.53
7553.42,0.00,0.00,7553.42
6557.06,16053.19,0.00,22610.25
3748.54,12947.84,0.00,16696.38
3138.08,19425.25,0.00,22563.33
26011.86,0.00,71480.05,97491.91
19530.24,98616.73,0.00,118146.97
110766.84,0.00,0.00,110766.84
20657.07,0.00,119345.95,140003.02
17493.47,0.00,72927.98,90421.45
34415.70,0.00,120326.48,154742.18
12365.91,0.00,20851.93,33217.84
85877.88,0.00,0.00,85877.88
92820.86,0.00,0.00,92820.86
15467.86,0.00,0.00,15467.86
30289.14,0.00,125155.29,155444.43
91.56,0.00,305.44,397.00
28950.06,60644.66,0.00,89594.72
6869.66,21342.14,0.00,28211.80
8113.92,28096.34,0.00,36210.26
8668.64,0.00,20813.84,29482.48
18821.47,38889.22,0.00,57710.69
23749.61,0.00,145098.63,168848.24
35296.17,0.00,80106.84,115403.01
18351.60,0.00,82957.99,101309.59
9198.72,0.00,34896.13,44094.85
8993.31,15019.47,0.00,24012.78
13826.83,123942.17,0.00,137769.00
11349.51,27477.54,0.00,38827.05
20069.67,62404.51,0.00,82474.18
8789.30,20014.14,0.00,28803.44
31571.04,93398.73,0.00,124969.77
1711.22,0.00,8962.79,10674.01
11082.48,71982.45,0.00,83064.93
29426.09,0.00,84081.44,113507.53
9974.78,0.00,56624.09,66598.87
17737.01,0.00,54578.70,72315.71
37006.46,0.00,0.00,37006.46
40592.45,123155.84,0.00,163748.29
60614.70,0.00,0.00,60614.70
11677.16,0.00,27830.07,39507.23
68939.49,0.00,0.00,68939.49
25482.59,0.00,86810.98,112293.57
33402.76,0.00,211484.10,244886.86
1410.25,0.00,2169.72,3579.97
34443.04,0.00,0.00,34443.04
57859.30,0.00,0.00,57859.30
39116.06,0.00,64034.99,103151.05
2640.56,0.00,4381.60,7022.16
659.17,5853.43,0.00,6512.60
2675.21,0.00,5308.42,7983.63
6346.59,52344.83,0.00,58691.42
17640.83,0.00,135854.36,153495.19
2115.11,0.00,12483.60,14598.71
126413.78,0.00,0.00,126413.78
110430.87,0.00,0.00,110430.87
2103.61,0.00,0.00,2103.61
6333.74,0.00,17829.06,24162.80
11400.29,42027.78,0.00,53428.07
1402.31,0.00,0.00,1402.31
83160.05,0.00,0.00,83160.05
6788.61,13027.25,0.00,19815.86
11301.24,0.00,0.00,11301.24
53020.69,130091.24,0.00,183111.93
34402.11,0.00,85749.97,120152.08
43852.08,90466.24,0.00,134318.32
45622.15,0.00,133662.88,179285.03
17251.16,44767.86,0.00,62019.02
10348.04,0.00,45573.42,55921.46
78495.70,0.00,0.00,78495.70
104250.51,0.00,0.00,104250.51
11403.97,88340.29,0.00,99744.26
23071.01,71921.42,0.00,94992.43
28687.82,52861.19,0.00,81549.01
60664.56,0.00,116920.32,177584.88
24118.98,135529.20,0.00,159648.18
136011.96,0.00,0.00,136011.96
41821.78,63697.02,0.00,105518.80
120.52,206.98,0.00,327.50
10253.12,0.00,0.00,10253.12
1898.03,6842.57,0.00,8740.60
18146.73,0.00,0.00,18146.73
73040.58,0.00,0.00,73040.58
4020.88,23624.03,0.00,27644.91
50003.13,0.00,0.00,50003.13
29474.24,0.00,128996.15,158470.39
28976.68,53556.75,0.00,82533.43
451.07,0.00,3270.88,3721.95
28925.34,0.00,95023.07,123948.41
15627.17,0.00,54637.11,70264.28
13221.80,0.00,61465.05,74686.85
127333.46,0.00,0.00,127333.46
11788.65,0.00,39109.59,50898.24
5055.19,0.00,0.00,5055.19
7010.72,40584.84,0.00,47595.56
30925.72,0.00,66549.78,97475.50
32595.53,55381.35,0.00,87976.88
19036.94,0.00,38705.25,57742.19
31189.76,0.00,98235.20,129424.96
1506.39,0.00,6649.75,8156.14
283243.68,0.00,0.00,283243.68
15170.87,117062.60,0.00,132233.47
95997.84,0.00,0.00,95997.84
22472.95,0.00,42453.79,64926.74
47778.47,139856.81,0.00,187635.28
162.29,1000.85,0.00,1163.14
15721.84,79481.20,0.00,95203.04
5971.40,23523.85,0.00,29495.25
44752.76,0.00,80671.38,125424.14
15943.25,52779.28,0.00,68722.53
104287.77,0.00,0.00,104287.77
66517.90,0.00,0.00,66517.90
143103.10,0.00,0.00,143103.10
24722.23,52099.61,0.00,76821.84
4841.48,13032.77,0.00,17874.25
35748.46,0.00,65515.21,101263.67
20987.70,0.00,66689.83,87677.53
149131.57,0.00,0.00,149131.57
19465.76,0.00,58771.66,78237.42
20151.16,0.00,37533.88,57685.04
8337.04,0.00,12828.11,21165.15
